gamma,g,c,l,I,m,M,stable,qstar_1,qstar_2,qstar_3,qstar_4
1,0.5,0.02,1,0.5,1,0,0,0.0861133752683277,-0.139280984571523,-0.17762414972669,0.000624364876892664
1,0.5,0.02,1,0.5,1,2.000200020002e-05,0,0.0866230330904995,-0.139979270771122,-0.178560069953957,0.000935552216546125
1,0.5,0.02,1,0.5,1,4.000400040004e-05,0,0.0892836911681591,-0.136672965463,-0.1818148775738,0.0070538299887221
1,0.5,0.02,1,0.5,1,6.000600060006e-05,0,0.0889302414353677,-0.136134542700336,-0.181058869156559,0.00696151453149246
1,0.5,0.02,1,0.5,1,8.000800080008e-05,0,0.088084050382797,-0.134796359513453,-0.178974476500503,0.00689123600515655
1,0.5,0.02,1,0.5,1,0.0001000100010001,0,0.0883929758857898,-0.135233256680044,-0.179615171134656,0.00693506749210879
1,0.5,0.02,1,0.5,1,0.00012001200120012,0,0.0890733396244889,-0.136257527460292,-0.181191295603803,0.00697478278332601
1,0.5,0.02,1,0.5,1,0.00014001400140014,0,0.0893871178794716,-0.136691156828919,-0.181805442533592,0.00704038247139798
1,0.5,0.02,1,0.5,1,0.00016001600160016,0,0.0890782023261072,-0.136215381485719,-0.181133180859845,0.00696405370011352
1,0.5,0.02,1,0.5,1,0.00018001800180018,0,0.088037459823953,-0.134573159180552,-0.178587045640128,0.0069097413777483
1,0.5,0.02,1,0.5,1,0.0002000200020002,0,0.088330920651234,-0.134998586817479,-0.179236989568155,0.00692836565334144
1,0.5,0.02,1,0.5,1,0.00022002200220022,0,0.0885493419882633,-0.135370860180296,-0.179944924659745,0.00681925125712844
1,0.5,0.02,1,0.5,1,0.00024002400240024,0,0.0888661070599592,-0.135807971415996,-0.180560538940959,0.00688707986811165
1,0.5,0.02,1,0.5,1,0.00026002600260026,0,0.0891787002793436,-0.136239230609827,-0.18116920166514,0.00695384787543988
1,0.5,0.02,1,0.5,1,0.00028002800280028,0,0.0894902069346942,-0.136669269173104,-0.181777579830349,0.00701981814199502
1,0.5,0.02,1,0.5,1,0.0003000300030003,0,0.0898010143378658,-0.137097149510017,-0.182380825276926,0.00708790727266882
1,0.5,0.02,1,0.5,1,0.00032003200320032,0,0.0901079979557275,-0.137521302278805,-0.182983905604777,0.00715186119564828
1,0.5,0.02,1,0.5,1,0.00034003400340034,0,0.0882917066589113,-0.134726064671398,-0.17875178770909,0.0069503399156782
1,0.5,0.02,1,0.5,1,0.00036003600360036,0,0.0885909069109015,-0.135151392165598,-0.17938226711392,0.00698784122207876
1,0.5,0.02,1,0.5,1,0.00038003800380038,0,0.0879881284073473,-0.134298769810977,-0.177375944480842,0.00567880168016405
1,0.5,0.02,1,0.5,1,0.0004000400040004,0,0.0881882905773213,-0.134571615399772,-0.17826569569431,0.00603922205190632
1,0.5,0.02,1,0.5,1,0.00042004200420042,0,0.087946304748235,-0.134171698316949,-0.177088320364706,0.00540504457850859
1,0.5,0.02,1,0.5,1,0.00044004400440044,0,0.0881392746193387,-0.134454395537883,-0.17813849937086,0.00605558740332658
1,0.5,0.02,1,0.5,1,0.00046004600460046,0,0.0886158868662134,-0.135138405931352,-0.179186946486077,0.00622609293472883
1,0.5,0.02,1,0.5,1,0.00048004800480048,0,0.0880783841339747,-0.134298745391027,-0.177798289244488,0.00592608831341892
1,0.5,0.02,1,0.5,1,0.0005000500050005,0,0.0885989496119046,-0.135046536496249,-0.178941634575019,0.00611833384036492
1,0.5,0.02,1,0.5,1,0.00052005200520052,0,0.0883163640352162,-0.134600729548711,-0.178256500180528,0.00600003030380156
1,0.5,0.02,1,0.5,1,0.00054005400540054,0,0.0879828062480039,-0.134084359749638,-0.176939344263725,0.00524512767721238
1,0.5,0.02,1,0.5,1,0.00056005600560056,0,0.0882356131609046,-0.134423513344985,-0.177949428725746,0.00592890492937419
1,0.5,0.02,1,0.5,1,0.00058005800580058,0,0.0881946707400142,-0.134338572571887,-0.177820695744557,0.00589975085295262
1,0.5,0.02,1,0.5,1,0.0006000600060006,0,0.0882809642888516,-0.134442859270167,-0.17799872354866,0.00594773838637823
1,0.5,0.02,1,0.5,1,0.00062006200620062,0,0.088252727874495,-0.134367498597154,-0.177820053054461,0.00586758287375907
1,0.5,0.02,1,0.5,1,0.00064006400640064,0,0.0882997616576159,-0.134418041966068,-0.177962661153491,0.00595318208194914
1,0.5,0.02,1,0.5,1,0.00066006600660066,0,0.088623653875304,-0.134870639057244,-0.17864196938418,0.00606635676536293
1,0.5,0.02,1,0.5,1,0.00068006800680068,0,0.0890175344698581,-0.135429107286099,-0.179498277849409,0.00621970573396141
1,0.5,0.02,1,0.5,1,0.0007000700070007,0,0.0892872422987439,-0.135796973044533,-0.180017806601795,0.00628357343993806
1,0.5,0.02,1,0.5,1,0.00072007200720072,0,0.0890570505284611,-0.135422542236845,-0.179419691266939,0.00618620510371698
1,0.5,0.02,1,0.5,1,0.00074007400740074,0,0.0894030884136396,-0.135922382338524,-0.18026126738442,0.00637514827790616
